"state_abbr","state_name","state_fips","year","poverty_rate","median_income","unemployment_rate"
"CA","California","06",2000,"12.70",46836,"4.90"
"CA","California","06",2001,"12.90",47064,"5.50"
"CA","California","06",2002,"13.30",47323,"6.70"
"CA","California","06",2003,"13.70",48440,"6.90"
"CA","California","06",2004,"13.20",49894,"6.20"
"FL","Florida","12",2000,"11.70",38784,"3.70"
"FL","Florida","12",2001,"12.60",37319,"4.70"
"FL","Florida","12",2002,"12.80",38226,"5.60"
"FL","Florida","12",2003,"13.00",38985,"5.30"
"FL","Florida","12",2004,"11.90",40900,"4.60"
"GA","Georgia","13",2000,"12.30",42057,"3.50"
"GA","Georgia","13",2001,"12.70",42006,"4.00"
"GA","Georgia","13",2002,"13.00",42359,"5.00"
"GA","Georgia","13",2003,"13.40",42421,"4.80"
"GA","Georgia","13",2004,"13.70",42679,"4.80"
"NY","New York","36",2000,"13.20",41763,"4.50"
"NY","New York","36",2001,"13.70",43149,"4.90"
"NY","New York","36",2002,"13.90",42765,"6.20"
"NY","New York","36",2003,"14.30",44139,"6.40"
"NY","New York","36",2004,"14.50",45343,"5.80"
"TX","Texas","48",2000,"14.60",39090,"4.40"
"TX","Texas","48",2001,"15.00",40152,"5.00"
"TX","Texas","48",2002,"15.40",40063,"6.40"
"TX","Texas","48",2003,"16.20",39967,"6.80"
"TX","Texas","48",2004,"16.20",41645,"6.00"
